 id    sex    sctyp    civics    motiv    locus    concept   read    write    math    science
245     1       1       58.1      0.67     0.46      0.34    62.2     56.7    51.9      54.7
247     2       1       30.6      0.00     0.46     -0.47    49.5     61.9    41.4      55.3
248     1       1       60.5      0.33    -0.49      0.03    65.4     59.3    56.8      66.1
252     2       1       50.6      1.00     0.48      0.32    49.5     54.1    38.7      49.8
255     1       1       50.6      0.33    -1.13     -0.55    44.2     46.9    45.5      39.0
256     1       1       30.6      0.00     0.06      0.03    44.2     33.3    53.9      58.0
259     2       1       55.6      1.00     0.23      0.44    49.5     51.5    45.5      49.8
260     2       1       70.5      1.00     0.10      1.19    52.1     56.7    62.3      66.1
262     2       1       65.5      1.00     0.52      0.59    68.0     59.9    64.0      68.8
263     1       1       60.5      0.67     0.46      0.03    54.8     64.5    58.6      55.3
264     2       1       60.5      0.33    -0.80      0.15    41.6     41.1    39.5      47.1
265     2       1       33.1      0.33    -1.33     -0.60    34.7     35.2    40.2      50.9
269     1       1       45.6      0.00    -0.44     -0.22    44.2     33.3    40.9      47.1
270     2       1       60.5      1.00     0.23     -0.76    65.4     64.5    59.6      66.1
271     2       1       45.6      1.00     0.29      0.03    49.5     48.9    56.2      47.1
272     2       1       50.6      0.67     0.46      0.03    52.1     56.7    53.0      47.1
274     2       1       60.5      1.00     0.33     -0.26    52.1     67.1    57.0      63.4
275     2       1       60.5      1.00    -0.44     -0.47    54.8     65.1    66.1      49.8
276     1       1       35.6      0.67    -1.05     -0.34    44.2     38.5    41.4      42.3
277     2       1       65.5      1.00     1.11      0.34    73.3     67.1    62.3      58.0
278     1       1       60.5      1.00     0.46     -0.18    52.1     46.3    48.3      58.0
279     1       1       66.8      0.33     0.08      0.94    49.5     52.8    50.6      48.8
281     1       1       60.5      0.67    -0.18      0.03    44.2     48.9    56.3      41.7
285     2       1       53.1      0.67     0.00      0.03    61.1     61.2    62.2      57.4
287     2       1       55.6      0.67     0.66      0.34    54.8     56.7    61.9      63.4
288     1       1       55.6      0.00     0.25      0.65    49.5     48.9    50.4      63.4
289     1       1       60.5      1.00    -0.38      0.03    60.1     54.1    58.0      58.0
290     2       1       70.5      0.33     0.46     -1.11    65.4     67.1    67.0      66.1
293     2       1       65.5      1.00     0.71     -0.55    60.1     59.3    64.3      60.7
294     1       1       50.6      0.00    -0.82     -0.76    57.4     43.7    59.6      52.6
295     2       1       60.5      0.67     1.36      0.03    46.9     59.3    56.3      66.1
296     2       1       45.6      0.00    -0.14     -0.86    38.9     46.3    50.1      36.3
297     2       1       60.5      0.67     0.46      1.19    65.9     64.5    61.8      60.7
302     1       1       65.5      0.67     0.69      0.05    60.1     59.3    57.9      40.6
306     2       1       50.6      1.00    -0.60      0.28    33.6     41.1    42.9      41.7
307     1       1       60.5      1.00     0.46      0.34    76.0     52.1    64.1      63.9
308     1       1       55.6      0.67     0.00      0.65    46.9     33.3    50.4      47.1
309     2       1       50.6      0.67     0.32      0.90    33.6     51.5    41.9      49.8
310     1       1       45.6      0.33     0.52      0.65    54.3     62.5    56.6      54.7
311     1       1       35.6      0.67     0.46      0.63    46.9     52.8    49.3      53.1
315     2       1       65.5      0.67     0.91     -0.47    57.4     59.3    57.2      59.1
317     2       1       50.6      0.33     0.02     -1.05    60.1     64.5    61.2      60.7
318     2       1       45.6      0.33    -0.44     -0.47    38.9     46.3    41.9      41.7
320     1       1       50.6      0.67     0.22      0.03    60.1     41.7    52.0      52.6
323     1       1       45.6      0.33     0.66      0.34    33.6     38.5    42.9      47.1
324     2       1       25.7      1.00     0.94      0.03    68.0     56.7    59.6      58.0
325     2       1       40.6      0.33    -0.65      0.03    41.6     39.1    42.3      41.7
326     1       1       36.9      0.33     1.13      0.03    45.8     41.7    43.1      53.6
327     2       1       45.6      1.00     1.36      0.63    68.0     64.5    58.9      63.4
328     2       1       60.5      0.33     0.22      0.03    52.1     54.7    49.5      53.6
329     1       1       45.6      1.00    -0.43      0.03    52.1     44.3    53.1      58.0
331     2       1       35.6      0.00    -1.99      0.03    39.4     54.1    38.7      47.1
332     1       1       45.6      0.00    -0.40      0.03    44.2     33.3    47.8      44.4
333     1       1       35.6      0.00    -0.03     -0.16    33.6     43.7    42.6      47.1
335     2       1       40.6      0.67     0.46      0.34    62.7     61.9    52.9      44.4
337     1       1       60.5      0.67    -0.39     -0.28    44.2     51.5    51.1      63.4
340     1       1       60.5      1.00     0.47      0.01    68.0     64.5    61.5      55.3
341     2       1       56.8      1.00     0.71      0.03    68.0     61.9    72.2      66.1
342     2       1       45.6      0.67    -0.16     -0.47    36.3     61.9    52.2      39.0
344     2       1       51.8      0.33     0.27     -2.52    38.9     32.0    35.3      46.6
348     2       1       50.6      1.00     0.46      0.03    65.4     51.5    61.4      60.7
349     1       1       55.6      0.67    -1.50      0.03    33.6     48.9    38.6      42.3
353     1       1       45.6      0.00    -0.21     -1.13    38.9     41.1    43.6      55.3
354     2       1       65.5      0.67    -0.60     -1.18    54.8     59.3    68.0      49.3
355     2       1       43.1      0.33    -0.40     -0.89    41.6     56.7    45.0      50.4
356     2       1       50.6      0.33    -0.89     -1.29    60.1     64.5    41.0      52.6
357     2       1       60.5      1.00     0.06     -0.28    65.9     64.5    54.6      60.7
358     2       1       50.6      1.00     0.45      0.03    62.7     51.5    54.4      49.8
363     1       1       45.6      1.00    -0.38      0.03    38.9     41.7    37.7      44.4
365     2       1       45.6      0.67    -1.10     -0.28    38.9     41.1    45.9      47.1
367     1       1       65.5      0.33     0.70     -0.16    68.0     59.3    55.7      63.4
368     1       1       55.6      0.00    -0.45     -0.26    38.9     35.9    44.2      55.3
370     2       1       40.6      0.00    -0.19     -2.58    41.6     54.1    41.0      41.7
371     1       1       40.6      0.67     0.91     -0.47    44.2     41.1    50.5      58.0
372     1       1       55.6      0.33     0.09     -1.42    52.1     61.9    59.6      58.0
373     2       1       55.6      1.00     0.00      0.65    68.0     64.5    58.3      58.5
374     1       1       66.8      1.00     0.70     -0.16    49.5     61.9    50.9      46.1
375     1       1       30.6      0.33    -0.60      0.56    36.3     43.7    44.3      47.1
377     2       1       65.5      1.00    -0.16      0.03    57.4     57.3    64.0      58.0
378     1       1       60.5      1.00     0.46      0.65    68.0     54.1    63.0      63.4
379     1       1       55.6      0.67    -0.33      0.38    62.7     59.3    56.5      55.3
383     2       1       55.6      0.67     0.27      0.03    46.9     56.7    63.8      55.3
384     1       1       45.6      0.33    -2.23      1.19    44.2     38.5    41.2      49.8
386     2       1       50.6      0.33     0.06      0.65    47.4     64.5    53.9      55.8
391     2       1       65.5      0.00     0.06      0.65    65.4     59.3    56.8      46.1
392     1       1       45.6      0.33    -1.74      0.61    45.8     34.6    37.9      39.0
394     1       1       65.5      0.00     0.46      0.03    73.3     61.9    73.1      68.8
395     2       1       55.6      0.67     0.55     -0.24    46.9     56.7    54.6      47.1
396     2       1       35.6      0.33    -0.68      0.03    38.9     38.5    41.2      39.0
399     2       1       55.6      0.67    -0.24      0.03    45.8     54.1    49.5      47.1
400     1       1       45.6      0.67    -0.40      0.65    44.2     43.7    38.6      33.6
402     2       1       60.5      1.00     0.93      0.65    62.7     59.3    71.3      68.8
404     2       1       41.9      0.67    -0.38     -0.47    62.7     43.7    44.7      52.6
406     1       1       50.6      1.00     0.73      0.03    65.4     59.3    69.6      63.4
408     1       1       60.5      0.67    -0.45     -0.60    52.1     59.9    49.5      48.8
412     2       1       50.6      0.00     0.66     -0.60    42.6     56.7    40.3      49.8
414     2       1       65.5      1.00     0.08      0.03    54.8     67.1    47.4      49.8
415     2       1       70.5      1.00     0.46     -0.86    68.0     59.3    60.5      55.3
416     1       1       55.6      0.00     1.11     -0.09    44.2     48.9    48.0      49.8
417     2       1       55.6      1.00     0.07      0.34    65.4     59.3    51.2      60.7
419     1       1       50.6      0.33    -0.19      0.03    54.8     51.5    42.8      60.7
421     1       1       55.6      0.67    -0.40     -1.09    62.7     43.7    47.1      52.6
422     2       1       55.6      0.67     0.00      0.03    62.7     64.5    38.3      55.8
423     1       1       59.3      0.67     0.46     -0.47    68.0     64.5    70.6      68.8
424     2       1       50.6      1.00     0.75      0.34    47.4     41.7    51.6      38.5
425     2       1       40.6      1.00     1.36      0.65    46.9     51.5    57.0      49.8
426     1       1       70.5      1.00     0.68      0.87    54.8     56.7    56.9      58.0
427     1       1       65.5      0.67     0.05     -0.88    62.7     63.2    74.6      71.5
428     2       1       55.6      0.00    -0.84      0.03    36.3     59.3    47.7      39.0
433     2       1       45.6      1.00    -0.64      0.03    41.6     46.3    38.4      36.3
434     2       1       60.5      1.00     0.48      0.03    65.4     61.9    60.4      63.4
443     1       1       40.6      0.00    -0.43     -1.22    41.6     46.9    55.5      44.4
444     1       1       60.5      0.67     0.04      0.03    65.4     51.5    61.2      68.8
445     1       1       45.6      0.67     0.44     -0.16    62.7     48.9    48.8      66.1
446     1       1       60.5      1.00     0.65     -0.30    60.1     61.9    74.6      58.0
447     1       1       30.6      0.00    -1.33      0.65    40.5     38.5    47.1      44.4
449     1       1       70.5      0.00     0.10      0.03    62.7     48.9    42.1      66.1
451     2       1       45.6      1.00     0.02     -0.32    46.9     46.3    52.0      47.7
452     2       1       45.6      1.00     0.06      0.03    41.6     46.3    46.2      39.0
453     2       1       55.6      0.33    -0.83      0.65    44.2     59.3    55.5      36.3
454     2       1       60.5      0.00     0.91      0.15    54.8     56.7    55.5      58.0
455     2       1       50.6      1.00     0.06      0.59    52.1     51.5    45.4      39.0
459     2       1       50.6      1.00     0.03      0.03    41.6     43.0    44.5      39.0
461     1       1       60.5      0.33     0.24     -0.43    70.7     43.7    58.8      66.1
462     1       1       40.6      0.67     0.33      0.28    52.1     46.3    48.1      55.3
463     1       1       50.6      1.00    -0.11      0.25    44.2     44.3    45.6      39.0
464     2       1       50.6      1.00     0.94     -0.30    60.1     67.1    52.4      55.3
465     1       1       35.6      0.33     0.75     -0.49    41.6     41.1    41.2      44.4
473     2       1       60.5      1.00     0.06      0.28    60.1     59.3    56.2      60.7
474     2       1       55.6      0.00    -0.61      0.36    44.2     48.9    46.1      47.1
478     2       1       60.5      0.67     0.67     -0.59    54.8     64.5    55.3      49.8
479     2       1       60.5      1.00     0.46      0.03    60.1     64.5    56.3      63.4
481     2       1       60.5      0.33     0.89      0.34    57.4     61.9    72.2      60.7
483     2       1       56.8      0.67     0.06     -0.60    62.7     56.0    57.3      60.7
484     2       1       55.6      0.00    -0.22     -2.27    57.4     51.5    40.3      60.7
486     2       1       55.6      0.67     0.53      0.81    54.8     59.3    61.4      47.1
490     1       1       45.6      0.33    -1.28      0.34    31.0     35.9    46.1      39.0
491     2       1       45.6      1.00    -0.14      0.56    54.8     61.9    54.6      47.1
493     1       1       35.6      1.00    -0.86      0.28    36.3     48.9    54.4      60.7
496     2       1       50.6      1.00     0.23      0.03    52.1     59.3    52.9      60.7
497     2       1       46.8      0.00     0.00     -0.18    62.7     59.3    55.5      45.5
500     2       1       55.6      1.00     0.06      0.28    65.9     63.2    50.3      60.1
505     1       1       45.6      0.33     0.71      1.19    54.8     59.3    62.5      68.8
507     1       1       50.6      0.67    -0.40     -0.76    52.1     35.9    50.3      47.1
508     1       1       65.5      0.33     0.68     -0.47    46.9     61.9    60.5      68.8
509     1       1       50.6      0.67    -0.41      0.34    52.1     38.5    57.9      52.6
512     1       1       40.6      1.00    -1.10      0.03    38.9     38.5    42.8      41.7
513     1       1       65.5      0.67     0.06      0.32    49.5     43.7    55.5      68.8
514     1       1       60.5      0.00     0.06      0.03    46.9     51.5    57.2      52.6
516     1       1       65.5      0.33     0.66      0.03    65.4     59.3    67.1      66.1
517     2       1       50.6      1.00     0.26      0.87    49.5     61.9    61.4      63.4
518     1       1       40.6      1.00     0.06      0.03    54.8     41.1    42.8      47.1
520     1       2       55.6      0.33     0.06      0.03    68.0     59.3    71.3      66.1
521     1       2       50.6      1.00     0.46      0.34    52.1     46.3    50.4      52.6
522     1       2       60.5      1.00     0.00      0.65    52.1     61.9    62.1      58.0
523     2       2       40.6      1.00     0.68      0.32    36.3     56.7    41.9      49.8
525     2       2       61.8      0.33     0.48     -0.82    62.7     64.5    58.2      61.8
526     1       2       50.6      0.33     0.71      0.03    46.9     46.9    41.0      41.7
527     2       2       60.5      1.00     1.36     -1.18    62.7     61.9    63.1      60.7
529     1       2       50.6      1.00     0.55      0.63    54.8     59.3    62.3      58.0
530     2       2       55.6      1.00     0.26      0.94    60.1     59.3    51.8      53.1
533     2       2       50.6      0.67    -0.17      0.03    44.2     59.3    45.7      55.3
537     1       2       55.6      0.00    -0.40      0.65    52.1     46.3    51.3      58.0
539     2       2       55.6      1.00    -0.40     -1.34    57.4     61.9    55.5      49.8
541     1       2       60.5      0.33    -0.14      0.34    49.5     46.3    44.8      58.0
543     2       2       60.5      1.00    -0.47      0.28    65.4     61.9    47.1      60.7
545     2       2       60.5      1.00     0.91     -0.47    46.9     64.5    55.8      61.8
549     2       2       60.5      1.00     0.46      0.03    41.6     64.5    47.1      53.1
550     2       2       55.6      0.33     1.13      0.88    49.5     51.5    52.7      55.3
552     2       2       50.6      1.00     0.50     -0.22    54.8     61.9    61.3      60.7
553     1       2       40.6      0.67     0.71      0.28    62.7     56.7    54.7      58.0
555     1       2       55.6      1.00     0.06      1.19    65.4     64.5    67.9      63.4
558     2       2       45.6      0.67     0.46      0.56    44.2     54.1    52.2      44.4
560     2       2       50.6      1.00    -0.19     -1.73    44.7     47.6    50.3      39.0
561     2       2       45.6      1.00     0.68      0.03    44.2     48.9    46.2      47.7
563     2       2       50.6      1.00     0.91      0.03    57.4     59.3    55.5      55.3
564     1       2       55.6      0.33     0.32     -0.88    57.4     54.1    42.2      44.4
566     1       2       70.5      1.00     1.11      0.34    65.4     64.5    64.1      66.1
568     2       2       45.6      0.33     0.00      0.34    46.9     59.3    53.7      58.0
569     1       2       48.1      0.67     0.20     -0.47    56.4     49.5    51.9      47.1
570     2       2       60.5      0.33    -0.84     -2.60    44.2     64.5    53.0      55.3
571     2       2       60.5      1.00     1.16      0.09    46.9     52.1    42.5      47.7
572     1       2       50.6      0.33     0.23      0.15    49.5     51.5    48.0      52.6
575     2       2       40.6      0.00     0.68      0.03    44.2     35.9    43.6      47.1
578     2       2       50.6      1.00    -0.59      0.28    46.9     51.5    48.5      49.8
579     2       2       45.6      1.00    -0.38      0.03    45.3     38.5    43.5      40.1
580     2       2       60.5      1.00     0.73      0.03    62.7     62.5    68.9      60.7
581     1       2       60.5      1.00    -0.66     -0.47    52.7     41.1    40.2      58.0
582     1       2       45.6      0.33     0.10     -0.16    49.5     59.3    51.0      47.1
583     1       2       55.6      0.67    -1.33      0.03    57.4     56.7    59.8      58.0
586     1       2       45.6      0.67     0.71     -0.06    44.2     37.8    49.2      39.0
587     1       2       49.3      1.00     0.68     -0.53    48.4     48.2    60.5      60.1
588     1       2       45.6      0.33    -0.93     -0.80    52.1     51.5    49.5      55.3
589     1       2       60.5      0.00    -0.60      0.34    49.5     41.7    50.3      36.3
592     2       2       30.6      0.67     0.06      0.03    46.9     60.6    51.3      63.4
599     2       2       55.6      1.00     0.23      0.94    57.4     67.1    57.9      60.7
600     1       2       50.6      0.33     0.02      0.03    62.7     54.1    64.7      58.0
